x,y,z
-36.8478,126.08,-72.2124
-46.1589,128.648,-81.5868
-35.9928,127.765,-69.9236
-50.5839,130.017,-78.7682
-49.5871,127.096,-79.7472
-50.1901,136.827,-113.617
-50.0751,130.293,-76.6906
-41.7646,135.469,-79.6143
-51.9908,132.8,-72.9855
-96.6873,90.7161,-60.2879
-41.2592,130.367,-83.4246
-42.9877,133.553,-75.6629
-36.3506,132.33,-77.9196
-50.6256,132.055,-73.5033
-46.7248,138.309,-73.248
-45.1411,138.738,-73.4285
-39.081,131.766,-81.4444
-40.6252,136.548,-83.6571
-50.6049,131.129,-78.9729
-67.5945,151.993,-31.1997
-40.7123,138.67,-82.9429
-35.7307,128.721,-68.3806
-38.2225,127.388,-72.304
-48.071,126.42,-79.431
-37.8331,130.903,-83.2658
-41.0182,135.674,-78.2525
-35.0047,128.557,-74.3964
-37.012,131.781,-67.0627
-47.9335,128.798,-80.7771
-38.66,132.693,-75.3819
-51.3493,129.302,-78.1489
-38.6168,131.949,-82.7365
-50.5637,129.366,-77.5021
-46.8362,137.945,-71.9358
-48.8995,127.754,-79.6363
-38.3253,130.022,-81.3734
-43.8436,138.302,-72.5418
-34.436,117.745,-57.9241
-45.7419,137.247,-70.4531
-38.5176,137.252,-86.0015
-37.8294,131.94,-77.4394
-37.8387,129.335,-71.83
-44.1919,134.475,-77.8449
-42.7483,137.851,-77.389
-46.5511,127.509,-80.2969
-38.2165,131.059,-79.0224
-36.9914,130.393,-62.1354
-38.4475,128.135,-66.8479
-37.0197,127.132,-71.0446
-46.4637,127.047,-79.8036
-38.6058,132.184,-76.7036
-43.9962,127.928,-66.309
-45.0829,138.915,-76.457
-51.3372,130.168,-78.1216
-27.737,144.242,-99.7283
-48.9034,127.099,-80.7005
-46.9986,128.051,-80.896
-55.4242,117.153,-72.7412
-50.7122,130.616,-77.2217
-46.7714,137.408,-71.1124
-47.6116,136.989,-71.4056
-38.1751,128.068,-71.3999
-38.9573,139.077,-84.4912
-39.1631,138.372,-85.0735
-37.8947,132.788,-76.2191
-46.0354,138.599,-72.3874
-46.0906,137.652,-70.7459
-37.3566,128.281,-69.9663
-51.3367,129.637,-77.7256
-51.1928,130.035,-77.2454
-44.1822,137.334,-71.7593
-47.3266,127.066,-79.2069
-40.3092,140.227,-82.7138
-48.4953,127.74,-80.5016
-43.1737,135.36,-76.6973
-64.0951,136.941,-76.7622
-47.5893,127.275,-80.1916
-29.5846,94.4435,-33.096
-38.9922,139.422,-84.0366
-64.6405,136.432,-75.7802
-47.3056,97.1654,-111.13
-43.1873,135.569,-78.4925
-47.882,127.932,-79.9237
-43.5844,135.138,-78.5339
-44.9065,138.508,-72.0494
-48.0479,126.562,-80.3554
-63.3003,133.961,-114.455
-47.6745,126.819,-79.8181
-47.8224,127.978,-79.5513
-43.6895,135.258,-77.4919
-39.5837,138.964,-83.9389
-37.7879,132.348,-76.8884
-44.1863,137.386,-76.5188
-94.7446,125.579,-98.5095
-47.6037,128.413,-79.6866
-32.2197,117.404,-56.7646
-35.4848,75.5119,-79.3697
-45.0336,137.793,-71.0188
-36.8051,122.659,-64.3043
-47.905,127.901,-80.3082
-47.3211,127.683,-79.848
-45.8141,138.327,-70.9316
-57.5233,121.195,-72.7234
-42.7033,137.422,-78.8213
-42.5067,135.597,-79.0552
-47.4889,127.338,-79.8735
-47.6982,127.73,-80.1535
-47.5141,127.73,-79.9881
-36.4274,126.844,-92.9129
-47.7891,127.112,-80.4691
-47.7998,127.564,-80.5346
-43.4157,132.456,-72.3893
-43.4349,135.505,-77.9234
-47.403,127.627,-79.8924
-43.3766,135.54,-78.2543
-47.6701,127.831,-79.8884
-35.4509,115.343,-59.5366
-47.4293,127.78,-79.8701
-71.7776,124.436,-46.7616
-47.427,127.657,-79.9863
-68.498,106.036,-58.7945
-64.7491,168.426,-70.0687
-79.5834,126.504,-51.3267
-49.9221,125.361,-66.2793
-48.2919,122.811,-66.2566
-85.9455,120.109,-107.469
-80.2904,160.751,-53.1027
-36.493,103.673,-35.8075
-39.5579,129.292,-100.845
-44.2959,154.81,-100.217
-68.6915,143.726,-25.4795
-35.7016,99.8974,-26.0506
-59.3374,102.845,-50.6462
-46.9798,167.36,-57.3794
-28.4637,94.6346,-100.554
-39.5163,151.274,-74.9601
-96.5555,112.22,-81.109
-57.4874,127.229,-68.1628
-57.6491,165.207,-47.6616
-38.8693,165.885,-71.6459
-36.2129,157.313,-72.7051
-54.3228,104.454,-44.745
-60.298,77.9686,-39.4054
-60.6432,123.626,-69.7648
-54.7013,115.085,-61.7197
-61.9537,116.383,-68.4924
-56.7664,121.018,-72.7195
-33.0879,109.642,-32.7391
-80.8137,155.343,-91.5961
-45.0998,103.008,-43.6916
-63.0406,118.825,-116.15
-81.0435,112.178,-60.7553
-71.7678,121.547,-48.6852
-91.8142,98.2389,-87.1667
-31.3555,160.592,-54.369
