x,y,z
-51.8063,93.8081,-66.9891
-21.448,134.606,-57.5269
-45.7451,123.061,-55.7399
-21.4261,141.207,-79.3612
-68.5458,99.5574,-94.3193
-61.2845,138.639,-101.87
-69.4176,116.468,-66.1605
-37.1117,150.539,-78.5865
-79.4453,92.3199,-80.7368
-38.4539,114.253,-52.2035
-86.0773,103.655,-89.7374
-16.0834,118.889,-86.7506
-75.8294,85.5766,-81.8263
-75.0709,113.501,-64.7985
-61.4161,90.658,-79.0208
-77.3829,159.374,-46.196
-54.8507,100.685,-60.3239
-55.3045,117.491,-77.1795
-53.1786,117.206,-34.6921
-54.9384,126.783,-67.783
-68.4789,104.981,-61.6062
-56.6312,115.633,-61.7411
-58.0863,127.58,-66.3096
-52.8519,125.827,-77.2838
-52.7128,130.475,-82.0725
-29.0958,106.83,-67.5565
-47.1651,144.523,-52.9048
-91.7247,128.347,-63.3416
-52.0101,132.375,-54.1455
-65.2977,95.7894,-65.4347
-67.157,124.677,-71.7013
-60.601,109.268,-70.1701
-36.7973,114.372,-60.0912
-38.279,118.129,-96.7367
-54.5686,137.625,-39.4562
-21.5346,124.25,-78.151
-54.1391,111.625,-88.0908
-75.9037,121.393,-90.2355
-45.1558,106.8,-95.7738
-45.817,117.758,-72.1875
-60.2459,117.235,-72.7364
-21.8406,113.435,-79.0124
-77.1377,101.331,-84.1825
-45.3474,115.412,-72.1438
-46.8258,111.86,-62.6199
-37.402,105.212,-59.5457
-29.9111,135.705,-69.9309
-50.5165,117.07,-76.4889
-92.1886,96.6584,-93.5995
-44.5722,128.273,-86.3777
-60.0706,116.028,-62.7002
-54.357,113.53,-62.3058
-47.6453,115.766,-62.3041
-37.1469,137.494,-27.7451
-64.8179,129.014,-70.1034
-21.7723,142.428,-51.4929
-55.8925,148.844,-40.1469
-49.4322,122.268,-67.8243
-45.2012,118.599,-29.7948
-36.8907,137.479,-85.0303
-88.9578,132.9,-56.7315
-51.2338,130.199,-66.7138
-36.7985,133.326,-110.544
-50.2323,125.301,-60.621
-85.8213,120.774,-77.9905
-32.2516,89.1175,-98.9536
-68.4856,100.793,-79.2977
-49.0754,105.296,-39.5763
-62.4951,132.809,-60.9047
